p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0.00899718219461284,0.481980948274131,0.496,0.605,1,0,SCRG1
0,2.57185348264324,0.971,0.662,0,1,GFAP
0,1.99826160309739,0.997,0.865,0,1,APOE
0,1.53659425240867,0.922,0.76,0,1,AQP4
0,1.38544622058978,0.922,0.806,0,1,NMB
0,1.34861334819276,0.992,0.909,0,1,CLU
0,1.28504569231507,0.751,0.383,0,1,ID3
0,1.19270649965334,0.95,0.816,0,1,CRYAB
0,1.15492145325732,0.858,0.737,0,1,AEBP1
0,1.12396810698184,0.892,0.626,0,1,ITM2C
0,1.11995801623821,0.816,0.515,0,1,GADD45B
0,1.02614726057173,0.845,0.705,0,1,CHI3L1
0,1.00762276535529,0.889,0.743,0,1,DDR1
0,0.907598083255346,0.939,0.838,0,1,S100A6
0,0.885859134497008,0.945,0.898,0,1,MT1X
0,0.877613723138668,0.882,0.751,0,1,ZFP36L2
0,0.873728350937372,0.867,0.819,0,1,AGT
0,0.872293329301328,0.93,0.87,0,1,FOS
0,0.86750569571262,0.848,0.776,0,1,MT1M
0,0.848685172827919,0.903,0.726,0,1,BCAN
0,0.842895820997669,0.818,0.666,0,1,SOX9
0,0.823241699537562,0.859,0.649,0,1,NKAIN4
0,0.809321010403667,0.864,0.787,0,1,TTYH1
0,0.809031214686544,0.95,0.861,0,1,CPE
0,0.804671584049828,0.85,0.728,0,1,PLTP
0,0.80131352493856,0.786,0.684,0,1,EDNRB
0,0.800712921147926,0.661,0.352,0,1,FAM107A
0,0.789201964982248,0.788,0.717,0,1,ADCYAP1R1
0,0.775917062176301,0.901,0.817,0,1,GATM
0,0.761882875895692,0.714,0.512,0,1,MAOB
0,0.720971512394512,0.792,0.645,0,1,F3
0,0.716612059685692,0.913,0.833,0,1,TIMP2
0,0.634318964285856,0.767,0.578,0,1,PGAM2
0,0.617953044681359,0.76,0.455,0,1,NDRG2
0,0.61334141291986,0.908,0.853,0,1,RAMP1
0,0.600205432993564,0.706,0.626,0,1,C10orf10
0,0.582578332324377,0.956,0.888,0,1,C1orf61
0,0.556457126266299,0.732,0.654,0,1,RARRES3
0,0.543767321588353,0.629,0.294,0,1,PLP1
0,0.543112083023043,0.684,0.461,0,1,NTRK2
0,0.505944567459463,0.698,0.554,0,1,C1S
0,0.413990131718602,0.631,0.459,0,1,LIX1
0,0.366289130216221,0.964,0.892,0,1,SPARC
0,0.326141711611552,0.713,0.608,0,1,SLC7A11
0,0.263059261142765,0.653,0.456,0,1,BAIAP3
1.01557214949549e-295,0.462861313113355,0.908,0.881,2.03114429899098e-292,1,IFITM3
2.12297772219945e-295,0.302966922030315,0.602,0.399,4.2459554443989e-292,1,BAALC-AS1
4.9535652821252e-295,0.58114930393962,0.809,0.66,9.90713056425041e-292,1,ATP1A2
3.00401155285911e-294,0.35162149555897,0.669,0.413,6.00802310571822e-291,1,NTM
8.91592383533346e-293,0.791779189236731,0.867,0.814,1.78318476706669e-289,1,MT1G
6.79753368516083e-292,0.557865055457877,0.904,0.851,1.35950673703217e-288,1,PON2
1.05703076641075e-291,0.729556715000179,0.782,0.563,2.1140615328215e-288,1,JUNB
7.75921185630537e-289,0.511721712787837,0.698,0.574,1.55184237126107e-285,1,C1R
